Name,Version,License,URL
@angular/animations,15.0.3,MIT,git+https://github.com/angular/angular.git
@angular/cdk,15.0.2,MIT,git+https://github.com/angular/components.git
@angular/common,15.0.3,MIT,git+https://github.com/angular/angular.git
@angular/compiler,15.0.3,MIT,git+https://github.com/angular/angular.git
@angular/core,15.0.3,MIT,git+https://github.com/angular/angular.git
@angular/forms,15.0.3,MIT,git+https://github.com/angular/angular.git
@angular/material,15.0.2,MIT,git+https://github.com/angular/components.git
@angular/platform-browser,15.0.3,MIT,git+https://github.com/angular/angular.git
@angular/platform-browser-dynamic,15.0.3,MIT,git+https://github.com/angular/angular.git
@angular/router,15.0.3,MIT,git+https://github.com/angular/angular.git
cytoscape,3.23.0,MIT,git+https://github.com/cytoscape/cytoscape.js.git
rxjs,7.5.7,Apache-2.0,git+https://github.com/reactivex/rxjs.git
tslib,2.4.1,0BSD,git+https://github.com/Microsoft/tslib.git
uuid,9.0.0,MIT,git+https://github.com/uuidjs/uuid.git
zone.js,0.12.0,MIT,git://github.com/angular/angular.git
@angular-devkit/build-angular,15.0.3,MIT,git+https://github.com/angular/angular-cli.git
@angular/cli,15.0.3,MIT,git+https://github.com/angular/angular-cli.git
@angular/compiler-cli,15.0.3,MIT,git+https://github.com/angular/angular.git
@types/cytoscape,3.19.9,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git
@types/jasmine,4.3.1,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git
@types/uuid,9.0.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git
cypress,12.3.0,MIT,git+https://github.com/cypress-io/cypress.git
jasmine-core,4.5.0,MIT,git+https://github.com/jasmine/jasmine.git
karma,6.4.1,MIT,git://github.com/karma-runner/karma.git
karma-chrome-launcher,3.1.1,MIT,git://github.com/karma-runner/karma-chrome-launcher.git
karma-coverage,2.2.0,MIT,git://github.com/karma-runner/karma-coverage.git
karma-coverage-istanbul-reporter,3.0.3,MIT,git+https://github.com/mattlewis92/karma-coverage-istanbul-reporter.git
karma-jasmine,5.1.0,MIT,git://github.com/karma-runner/karma-jasmine.git
karma-jasmine-html-reporter,2.0.0,MIT,git+https://github.com/dfederm/karma-jasmine-html-reporter.git
karma-junit-reporter,2.0.1,MIT,git://github.com/karma-runner/karma-junit-reporter.git
license-report,6.3.0,MIT,git+https://github.com/ironSource/license-report.git
typescript,4.8.4,Apache-2.0,git+https://github.com/Microsoft/TypeScript.git
Done in 2.06s.
